,BA,Conc,Fasted/Fed,Serum/Plasma,Analysis Technique,Healthy/Unhealthy,Exact Analysis Technique,Starting Volume,Average Age,Number of Patients,Protein Precipitation,NAFLD/NASH/Cirrhosis,Liver/Non-Liver
2658,T-DCA,,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
2659,T-DCA,,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
2660,T-DCA,,Fasted,Plasma,LC-MS,Normal,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,Normal,Healthy
2661,T-DCA,,Fasted,Plasma,LC-MS,Unhealthy,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,,
2662,T-DCA,,Fasted,Plasma,LC-MS,Unhealthy,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,,
2663,T-DCA,,Fasted,Plasma,LC-MS,Unhealthy,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,,
2664,T-DCA,,Fasted,Plasma,LC-MS,Unhealthy,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,,
2665,T-DCA,256.4,Fasted,Serum,LC-MS,Unhealthy,UHPLC-TQ-TOFMS,100.0,55.9,40.0,Methanol:Acetonitrile,Cirrhosis,Liver
2666,T-DCA,45.6,Fasted,Serum,LC-MS,Unhealthy,UHPLC-TQ-TOFMS,100.0,52.6,45.0,Methanol:Acetonitrile,,Liver
2667,T-DCA,57.0,Fasted,Serum,LC-MS,Unhealthy,UHPLC-TQ-TOFMS,100.0,48.1,42.0,Methanol:Acetonitrile,,Liver
2668,T-DCA,22.6,Fasted,Serum,LC-MS,Normal,UHPLC-TQ-TOFMS,100.0,39.0,40.0,Methanol:Acetonitrile,Normal,Healthy
2669,T-DCA,12.1,Fasted,Serum,LC-MS,Unhealthy,UHPLC-TQ-TOFMS,100.0,39.8,41.0,Methanol:Acetonitrile,NAFLD,Liver
2670,T-DCA,,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,250.0,,,Acetonitrile,Normal,Healthy
2671,T-DCA,,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,250.0,,,Acetonitrile,NASH,Liver
2672,T-DCA,20.0,Fasted,Serum,LC-MS,Normal,UPLC-MS,50.0,,11.0,Methanol,Normal,Healthy
2673,T-DCA,10.0,Fasted,Serum,LC-MS,Normal,UPLC-MS,50.0,,11.0,Methanol,Normal,Healthy
2674,T-DCA,22.9,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,10.0,33.0,75.0,,Normal,Healthy
2675,T-DCA,21.8,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,10.0,55.0,71.0,,Normal,Healthy
2676,T-DCA,18.2,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,10.0,55.0,95.0,,Normal,Healthy
2677,T-DCA,,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,49.0,12.0,Acetonitrile,Normal,Healthy
2678,T-DCA,,Fed,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,40.0,62.0,Acetonitrile,Normal,Healthy
2679,T-DCA,,Fed,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,45.0,25.0,Acetonitrile,Normal,Healthy
2680,T-DCA,,Fed,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,49.0,12.0,Acetonitrile,Normal,Healthy
2681,T-DCA,,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,40.0,62.0,Acetonitrile,Normal,Healthy
2682,T-DCA,,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,45.0,25.0,Acetonitrile,Normal,Healthy
2683,T-DCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,62.0,5.0,,,Non-Liver
2684,T-DCA,30.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS,100.0,53.0,35.0,Acetonitrile,Normal,Healthy
2685,T-DCA,20.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS,100.0,46.0,200.0,Acetonitrile,Normal,Healthy
2686,T-DCA,,Fasted,Serum,Capillary Electrophoresis,Normal,Capillary Electrophoresis,2000.0,,23.0,,Normal,
2687,T-DCA,,Fasted,Serum,Capillary Electrophoresis,Unhealthy,Capillary Electrophoresis,2000.0,,15.0,,,
2688,T-DCA,,Fasted,Serum,Capillary Electrophoresis,Unhealthy,Capillary Electrophoresis,2000.0,31.0,9.0,,Cholestasis,Liver
2689,T-DCA,,Fasted,Serum,Capillary Electrophoresis,Unhealthy,Capillary Electrophoresis,2000.0,27.0,23.0,,Cholestasis,Liver
2690,T-DCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,61.0,10.0,,,Non-Liver
2691,T-DCA,27.5,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,50.0,29.0,7.0,Methanol,,Non-Liver
2692,T-DCA,31.099999999999998,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,50.0,29.0,7.0,Methanol,,Non-Liver
2693,T-DCA,700.0,Fed,Serum,LC-MS,Unhealthy,HPLC-MS,100.0,,50.0,Sodium Hydroxide,Cholestasis,Liver
2694,T-DCA,30.0,Fed,Plasma,GC-MS,Normal,GC-MS,,33.4,11.0,,Normal,Healthy
2695,T-DCA,210.0,Fed,Plasma,GC-MS,Unhealthy,GC-MS,,35.1,11.0,,,
2696,T-DCA,20.0,Fed,Plasma,GC-MS,Normal,GC-MS,,33.4,11.0,,Normal,Healthy
2697,T-DCA,30.0,Fed,Plasma,GC-MS,Normal,GC-MS,,33.4,11.0,,Normal,Healthy
2698,T-DCA,30.0,Fed,Plasma,GC-MS,Unhealthy,GC-MS,,35.1,11.0,,,
2699,T-DCA,20.0,Fasted,Plasma,GC-MS,Unhealthy,GC-MS,,35.1,11.0,,,
2700,T-DCA,0.0,Fasted,Plasma,GC-MS,Normal,GC-MS,,33.4,11.0,,Normal,Healthy
2701,T-DCA,40.0,Fed,Plasma,GC-MS,Unhealthy,GC-MS,,35.1,11.0,,,
2702,T-DCA,164.19,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,100.0,54.4,12.0,Formic Acid,,Liver
2703,T-DCA,28.07,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,100.0,37.7,6.0,Formic Acid,Cholestasis,Liver
2704,T-DCA,43.46,Fasted,Serum,LC-MS,Normal,LC-MS/MS,100.0,44.2,30.0,Formic Acid,Normal,Healthy
2705,T-DCA,44.91,Fasted,Serum,LC-MS,Normal,LC-MS/MS,100.0,52.1,30.0,Formic Acid,Normal,Healthy
2706,T-DCA,106.0,Unknown,Plasma,LC-MS,Unknown,UPLC-TQMS,,76.3,10.0,,Normal,Healthy
2707,T-DCA,60.0,Unknown,Plasma,LC-MS,Unknown,UPLC-TQMS,,77.6,10.0,,Normal,Healthy
2708,T-DCA,,Fasted,Serum,LC-MS,Unknown,UPLC-TQMS,500.0,45.0,30.0,Acetonitrile,Normal,Healthy
2709,T-DCA,,Fasted,Serum,LC-MS,Unknown,UPLC-TQMS,500.0,45.0,30.0,Acetonitrile,Normal,Healthy
2710,T-DCA,106.0,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,50.0,38.2,17.0,Methanol,NASH,Liver
2711,T-DCA,75.0,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,50.0,49.3,58.0,Methanol,NASH,Liver
2712,T-DCA,53.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,50.0,38.5,85.0,Methanol,Normal,Healthy
2713,T-DCA,39.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,50.0,47.1,59.0,Methanol,Normal,Healthy
2714,T-DCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,52.0,9.0,,,Non-Liver
2715,T-DCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,56.0,20.0,,,Non-Liver
2716,T-DCA,0.0,Fasted,Plasma,LC-MS,Normal,UPLC-MS/MS,50.0,59.7,15.0,Acetonitrile,Normal,Healthy
2717,T-DCA,30.0,Fasted,Plasma,LC-MS,Normal,UPLC-MS/MS,50.0,59.4,15.0,Acetonitrile,,
2718,T-DCA,,Fasted,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
2719,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
2720,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
2721,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
2722,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
2723,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
2724,T-DCA,,Fasted,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2725,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2726,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2727,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2728,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2729,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2730,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2731,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2732,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2733,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2734,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
2735,T-DCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
2736,T-DCA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
2737,T-DCA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
2738,T-DCA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
2739,T-DCA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
2740,T-DCA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
2741,T-DCA,2.8,Both,Plasma,LC-MS,Unhealthy,LC-MS/MS,50.0,59.1,233.0,Methanol,HCC,Liver
2742,T-DCA,1.2,Both,Plasma,LC-MS,Both,LC-MS/MS,50.0,59.1,233.0,Methanol,Normal,Healthy
2743,T-DCA,96.37,Unknown,Serum,LC-MS,Unhealthy,LC-MS/MS,,51.3,185.0,,HCC,Liver
2744,T-DCA,82.58,Unknown,Serum,LC-MS,Unhealthy,LC-MS/MS,,54.4,96.0,,HCC,Liver
2745,T-DCA,76.09,Unknown,Serum,LC-MS,Unhealthy,LC-MS/MS,,50.7,161.0,,,Liver
2746,T-DCA,54.26,Unknown,Serum,LC-MS,Unhealthy,LC-MS/MS,,54.5,96.0,,,Liver
2747,T-DCA,14.5,Both,Plasma,LC-MS,Unknown,UPLC-MRM-MS,50.0,57.5,569.0,Methanol,,
2748,T-DCA,17.0,Both,Plasma,LC-MS,Unhealthy,UPLC-MRM-MS,50.0,57.5,569.0,Methanol,,Non-Liver
2749,T-DCA,1300.0,Fed,Serum,LC-MS,Unhealthy,HPLC-MS/MS,300.0,29.4,33.0,Formic Acid,Cholestasis,Liver
2750,T-DCA,320.0,Fed,Serum,LC-MS,Unhealthy,HPLC-MS/MS,300.0,27.9,28.0,Formic Acid,Cholestasis,Liver
2751,T-DCA,110.0,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,300.0,28.7,35.0,Formic Acid,Normal,Healthy
2752,T-DCA,213.4,Fasted,Serum,LC-MS,Unhealthy,HPLC-MS/MS,100.0,64.0,17.0,Formic Acid,Cholestasis,Liver
2753,T-DCA,43.2,Fasted,Serum,LC-MS,Unhealthy,HPLC-MS/MS,100.0,64.0,17.0,Formic Acid,Cholestasis,Liver
2754,T-DCA,44.9,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,100.0,,40.0,Formic Acid,Normal,Healthy
2755,T-DCA,18.91134680808485,Fasted,Serum,LC-MS,Normal,UPLC-MS/MS,50.0,,138.0,Methanol,Normal,Healthy
2756,T-DCA,13.608164898939364,Fasted,Serum,LC-MS,Normal,UPLC-MS/MS,50.0,,364.0,Methanol,Normal,Healthy
2757,T-DCA,,Fasted,Serum,GC-MS,Normal,GC-MS,,,15.0,,Normal,Healthy
2758,T-DCA,,Fed,Serum,GC-MS,Normal,GC-MS,,,15.0,,Normal,Healthy
2759,T-DCA,576.0,Unknown,Plasma,LC-MS,Unhealthy,LC-MS/MS,250.0,,,Acetonitrile,Cholestasis,Liver
2760,T-DCA,19.0,Unknown,Plasma,LC-MS,Normal,LC-MS/MS,250.0,,,Acetonitrile,Normal,Healthy
2761,T-DCA,61.0,Fed,Plasma,LC-MS,Normal,UPLC-MS,50.0,33.5,10.0,Methanol,Normal,Healthy
2762,T-DCA,113.0,Fed,Serum,LC-MS,Normal,UPLC-MS,50.0,37.5,9.0,Methanol,Normal,Healthy
2763,T-DCA,3.43,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,41.17,48.0,Methanol,NASH,Liver
2764,T-DCA,7.96,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,41.17,48.0,Methanol,NASH,Liver
2765,T-DCA,1.12,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,46.71,24.0,Methanol,NAFL,Liver
2766,T-DCA,3.08,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,46.71,24.0,Methanol,NAFL,Liver
2767,T-DCA,3.77,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,40.4,15.0,Methanol,Normal,Healthy
2768,T-DCA,,Fasted,Serum,GLC,Normal,GLC,2000.0,28.1,29.0,,Normal,Healthy
2769,T-DCA,,Fasted,Serum,GLC,Unhealthy,GLC,2000.0,28.59,61.0,,Cholestasis,Liver
2770,T-DCA,,Fasted,Serum,HPLC,Normal,HPLC,,,5.0,,Normal,Healthy
2771,T-DCA,,Fasted,Serum,HPLC,Unhealthy,HPLC,,56.4,12.0,,,Liver
2772,T-DCA,,Fasted,Serum,HPLC,Unhealthy,HPLC,,56.4,12.0,,,Liver
2773,T-DCA,,Fasted,Serum,HPLC,Unhealthy,HPLC,,42.7,6.0,,Cholestasis,Liver
2774,T-DCA,,Fasted,Serum,HPLC,Unhealthy,HPLC,,42.7,6.0,,Cholestasis,Liver
2775,T-DCA,50.0,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,,16.0,105.0,,Normal,Healthy
2776,T-DCA,20.0,Fasted,Serum,LC-MS,Unhealthy,HPLC-MS/MS,,12.0,,,NAFLD,Liver
2777,T-DCA,10.0,Fasted,Serum,LC-MS,Unhealthy,HPLC-MS/MS,,10.0,,,NAFLD,Liver
2778,T-DCA,14.4,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,70.5,20.0,Methanol,Normal,Healthy
2779,T-DCA,24.4,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,71.5,30.0,Methanol,NAFL,Liver
2780,T-DCA,5.0,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,75.0,17.0,Methanol,NAFL,Liver
2781,T-DCA,6.7,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,67.0,36.0,Methanol,Normal,Healthy
2782,T-DCA,,Fasted,Serum,HPLC,Unhealthy,HPLC,,51.0,36.0,,,Liver
2783,T-DCA,,Fasted,Serum,GC-MS,Normal,GC-MS,500.0,,,,Normal,Healthy
2784,T-DCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,500.0,51.0,7.0,,,Non-Liver
2785,T-DCA,,Fed,Serum,LC-MS,Normal,LC-MS/MS,,12.8,11.0,,Normal,Healthy
2786,T-DCA,,Fed,Serum,LC-MS,Unhealthy,LC-MS/MS,,13.7,16.0,,NASH,Liver
2787,T-DCA,21.0,Unknown,Serum,LC-MS,Normal,LC-MS/MS,50.0,,,Methanol,Normal,Healthy
2788,T-DCA,599.0,Fasted,Plasma,LC-MS,Unhealthy,UPLC-MS,100.0,58.0,37.0,Methanol,NASH,Liver
2789,T-DCA,36.4,Fasted,Plasma,LC-MS,Unhealthy,UPLC-MS,100.0,54.6,25.0,Methanol,NAFL,Liver
2790,T-DCA,35.9,Fasted,Plasma,LC-MS,Normal,UPLC-MS,100.0,39.2,24.0,Methanol,Normal,Healthy
2791,T-DCA,79.3,Fasted,Serum,LC-MS,Normal,UPLC-MS/MS,100.0,,90.0,Acetonitrile,Normal,Healthy
2792,T-DCA,,Fasted,Plasma,LC-MS,Normal,LC-MS/MS,25.0,46.0,12.0,Trichloroacetic Acid,Normal,Healthy
2793,T-DCA,,Fasted,Serum,GLC,Normal,Capillary Gas Chromatography,2000.0,,10.0,,Normal,Healthy
2794,T-DCA,,Fasted,Serum,GLC,Unhealthy,Capillary Gas Chromatography,2000.0,,10.0,,,Non-Liver
2795,T-UDCA,25.4,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
2796,T-UDCA,3.8,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
2797,T-UDCA,3.8,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
2798,T-UDCA,18.1,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
2799,T-UDCA,3.7,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
2800,T-UDCA,9.5,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
2801,T-UDCA,16.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
2802,T-UDCA,3.4,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
2803,T-UDCA,16.5,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
2804,T-UDCA,1.9,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
2805,T-UDCA,8.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,74.7,305.0,,,
2806,T-UDCA,8.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,71.12,284.0,,,
2807,T-UDCA,8.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,73.95,505.0,,,
2808,T-UDCA,8.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,84.58,370.0,,,
2809,T-UDCA,8.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,72.18,98.0,,,
2810,T-UDCA,1.0,Fasted,Plasma,LC-MS,Both,UPLC-MS/MS,50.0,47.5,33.0,Methanol,,
2811,T-UDCA,435.0,Unknown,Plasma,LC-MS,Unhealthy,UPLC-MS/MS,50.0,60.9,42.0,Methanol,,Non-Liver
2812,T-UDCA,51.0,Unknown,Plasma,LC-MS,Unhealthy,UPLC-MS/MS,50.0,52.3,19.0,Methanol,HCC,Liver
2813,T-UDCA,24.0,Unknown,Plasma,LC-MS,Unhealthy,UPLC-MS/MS,50.0,57.9,120.0,Methanol,,Non-Liver
2814,T-UDCA,63.0,Unknown,Plasma,LC-MS,Unhealthy,UPLC-MS/MS,50.0,62.4,28.0,Methanol,,Non-Liver
2815,T-UDCA,17.0,Unknown,Plasma,LC-MS,Normal,UPLC-MS/MS,50.0,39.9,120.0,Methanol,Normal,Healthy
2816,T-UDCA,128.1,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,66.5,20.0,Ethanol,,Non-Liver
2817,T-UDCA,151.60000000000002,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,58.0,29.0,Ethanol,,Liver
2818,T-UDCA,107.6,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,59.9,67.0,Ethanol,,Liver
2819,T-UDCA,241.9,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,61.0,21.0,Ethanol,,Liver
2820,T-UDCA,55.300000000000004,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,62.5,13.0,Ethanol,NAFLD,Liver
2821,T-UDCA,8.5,Fasted,Serum,LC-MS,Normal,LC-MS/MS,20.0,,46.0,Ethanol,Normal,Healthy
2822,T-UDCA,,Fed,Serum,LC-MS,Unhealthy,LC-MS/MS,50.0,46.4,331.0,Acetonitrile,,
2823,T-UDCA,,Both,Serum,LC-MS,Normal,LC-MS/MS,50.0,48.2,314.0,Acetonitrile,Normal,Healthy
2824,T-UDCA,12.2,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,60.9,27.0,Methanol,NASH,Liver
2825,T-UDCA,12.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.4,45.0,Methanol,NASH,Liver
2826,T-UDCA,10.9,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,52.8,40.0,Methanol,Normal,Healthy
2827,T-UDCA,9.9,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,54.5,20.0,Methanol,Normal,Healthy
2828,T-UDCA,13.9,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,59.9,42.0,Methanol,NAFL,Liver
2829,T-UDCA,10.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,50.0,51.0,Methanol,NAFL,Liver
2830,T-UDCA,23.2,Unknown,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,66.3,100.0,Methanol,HCC,Liver
2831,T-UDCA,14.2,Unknown,Serum,LC-MS,Normal,UPLC-TQMS,50.0,66.4,100.0,Methanol,Normal,Healthy
2832,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-ESI-MS/MS,20.0,,,Ethanol:H2O,Normal,
2833,T-UDCA,,Fasted,Serum,LC-MS,Unhealthy,LC-ESI-MS/MS,20.0,,,Ethanol:H2O,NAFLD,Liver
2834,T-UDCA,,Fasted,Serum,LC-MS,Unhealthy,LC-ESI-MS/MS,20.0,,,Ethanol:H2O,NAFLD,Liver
2835,T-UDCA,,Fasted,Plasma,LC-MS,Normal,LC-MS/MS,50.0,40.5,26.0,Methanol,Normal,Healthy
2836,T-UDCA,,Fasted,Plasma,LC-MS,Unhealthy,LC-MS/MS,50.0,41.3,32.0,Methanol,NASH,Liver
2837,T-UDCA,881.0,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,56.78,37.0,Methanol,,Liver
2838,T-UDCA,1395.93,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,61.3,57.0,Methanol,Cirrhosis,Liver
2839,T-UDCA,8.83,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,34.07,400.0,Methanol,,Liver
2840,T-UDCA,15.59,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,40.4,11.0,Methanol,,Liver
2841,T-UDCA,1.56,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,38.92,153.0,Methanol,Normal,Healthy
2842,T-UDCA,7.46,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,44.8,214.0,Methanol,NASH,Liver
2843,T-UDCA,30.0,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,500.0,,,Acetonitrile,,
2844,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-MS/MS,500.0,,,Acetonitrile,Normal,Healthy
2845,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-MS/MS,500.0,,,Acetonitrile,Normal,Healthy
2846,T-UDCA,8.0,Unknown,Plasma,LC-MS,Unknown,UHPLC-MS,,78.0,30.0,,,
2847,T-UDCA,8.0,Unknown,Plasma,LC-MS,Unknown,UHPLC-MS,,77.0,30.0,,,
2848,T-UDCA,11.0,Unknown,Plasma,LC-MS,Unknown,UHPLC-MS,,79.0,20.0,,,
2849,T-UDCA,,Fasted,Plasma,LC-MS,Both,LC-MS/MS,50.0,56.0,205.0,Methanol,,
2850,T-UDCA,5.7,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,20.0,52.3,102.0,Methanol,NAFLD,Liver
2851,T-UDCA,2.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,20.0,,,Methanol,Normal,Healthy
2852,T-UDCA,,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,,54.3,251.0,,NAFLD,Liver
2853,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-MS/MS,,56.9,164.0,,Normal,Healthy
2854,T-UDCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,500.0,58.0,7.0,,,Non-Liver
2855,T-UDCA,,Fasted,Serum,GC-MS,Normal,GC-MS,500.0,,15.0,,Normal,Healthy
2856,T-UDCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,500.0,,8.0,,,Liver
2857,T-UDCA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,500.0,,8.0,,Cirrhosis,Liver
2858,T-UDCA,,Fasted,Serum,GLC,Normal,Capilliary gas-liquid chromatography,,,,,Normal,Healthy
2859,T-UDCA,,Fed,Serum,GLC,Normal,Capilliary gas-liquid chromatography,,,,,Normal,Healthy
2860,T-UDCA,,Fasted,Serum,GLC,Unhealthy,Capilliary gas-liquid chromatography,,48.6,43.0,,Cirrhosis,Liver
2861,T-UDCA,,Fed,Serum,GLC,Unhealthy,Capilliary gas-liquid chromatography,,48.6,43.0,,Cirrhosis,Liver
2862,T-UDCA,,Fed,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
2863,T-UDCA,,Fed,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
2864,T-UDCA,,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
2865,T-UDCA,,Fed,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
2866,T-UDCA,,Fed,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
2867,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
2868,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
2869,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
2870,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
2871,T-UDCA,,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
