,Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES,Number of Patients
109,In Search of an Accurate Evaluation of Intrahepatic Cholestasis of Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820586/,Serum,23,Unhealthy,Fasted,Capillary Electrophoresis,uM,,,,,,,,,,,,,,,,7100.0,10400.0,12000.0,5200.0,20300.0,,,Intrahepatic Cholestasis High,,Liver,Cholestasis,Cholestasis,0.0,23.0,27.0,2ml serum. Add 3ml acetonitrile. Vortex. 0.5g ammonium sulphate to SN. Organic phases evaporated and redissolved in 300ul acetonitrile. 6.7ml water added. 7ml volume passed through C18 Bakerbond cartridge condtioned with 4ml methanol and 5ml water. BAs eluted with 4ml methanol. Eluate evaporated to dryness and dissolved in 50ul 1mM sodium borate; 1mM sodium dihydrogen phosphate; pH 7.0 in 20% MeOH. ,2000.0,,,,,,Capillary Electrophoresis,2012,Arithmetic Mean,0.83,Capillary Electrophoresis: Mean; Intrahepatic Cholestasis High (Pruritus score),23.0
110,Individual bile acids in portal venous and systemic blood serum of fasting man,https://doi.org/10.1016/S0016-5085(19)31517-3,Serum,10,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,490.0,1550.0,1440.0,,,,,Cholelithiasis,,Non-Liver,,,3.0,7.0,61.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1977,Arithmetic Mean,0.47,GC-MS: Mean; Cholelithiasis,10.0
111,Influence of Roux-en-Y gastric bypass on plasma bile acid profiles: a comparative study between rats; pigs and humans,https://doi.org/10.1038/ijo.2016.46,Plasma,7,Normal,Fasted,LC-MS,uM,230.0,254.0,335.0,80.10000000000001,,177.0,602.0,170.0,102.0,15.6,35.9,59.8,27.5,,,442.90000000000003,915.8,532.5,,,1.323323323,0.53742548,Pre-RYGB Surgery,,Non-Liver,,,1.0,6.0,29.0,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2016,Arithmetic Mean,,HPLC-MS/MS: Mean;Pre RYGB surgery,7.0
112,Influence of Roux-en-Y gastric bypass on plasma bile acid profiles: a comparative study between rats; pigs and humans,https://doi.org/10.1038/ijo.2016.46,Plasma,7,Unhealthy,Fasted,LC-MS,uM,2150.0,1620.0,1200.0,207.0,,212.0,619.0,232.0,71.8,12.0,22.700000000000003,62.199999999999996,31.099999999999998,,,2384.7,2301.2000000000003,1463.1000000000001,,,0.243925053,0.374293092,Post-RYGB Surgery,,Non-Liver,,,1.0,6.0,29.0,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2016,Arithmetic Mean,,HPLC-MS/MS: Mean;Post RYGB surgery,7.0
113,Longitudinal Profiles of 15 Serum Bile Acids in Patients With Intrahepatic Cholestasis of Pregnancy,https://doi.org/10.1038/ajg.2009.633,Serum,50,Unhealthy,Fed,LC-MS,uM,600.0,140.0,100.0,15.0,10.0,3700.0,1900.0,850.0,120.0,22.0,6000.0,2300.0,700.0,130.0,22.0,10300.0,4340.0,1650.0,265.0,54.0,18.20115607,0.134494536,Intrahepatic Cholestasis,,Liver,Cholestasis,Cholestasis,0.0,50.0,,100ul serum. 0.1M ammonia for pH13 and mixture heated to 64deg for 15min. 1ml Strata-X cartridges conditioned with 50:50 v/v 2-propanol: hexane: methanol and 94.9:5:0.1 v/v/v methanol/water/formic acid. Equilibrate with 1ml water; 1ml sample loaded. Washed with water and water/methanol 95:5. BAs eluted 94.9:5:0.1 methanol/water/formic acid and vacuum evaporated to dryness and reconstituted in 60:40 10mM ammonium formate/methanol.,100.0,Sodium Hydroxide,Vacuum,Ammonium Formate:Methanol,SPE,,HPLC-MS,2009,Median,,HPLC-MS: Median; Intrahepatic Cholestasis,50.0
114,Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Normal,Fed,GC-MS,uM,30.0,0.0,90.0,10.0,0.0,110.0,640.0,240.0,110.0,10.0,20.0,60.0,30.0,,0.0,160.0,700.0,360.0,120.0,10.0,9.384615385,0.569767442,Obese,,Healthy,Normal,Normal,0.0,11.0,33.4,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; Healthy controls; 180 mins after meal ingestion,11.0
115,Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Unhealthy,Fed,GC-MS,uM,330.0,230.0,320.0,20.0,0.0,650.0,2460.0,1100.0,110.0,10.0,280.0,400.0,210.0,,0.0,1260.0,3090.0,1630.0,130.0,10.0,5.8,0.406896552,,,,,,0.0,11.0,35.1,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; RYGB patients; 60 mins after meal ingestion,11.0
116,Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Normal,Fed,GC-MS,uM,40.0,20.0,90.0,20.0,0.0,80.0,460.0,160.0,60.0,20.0,10.0,40.0,20.0,,0.0,130.0,520.0,270.0,80.0,20.0,5.0,0.569230769,Obese,,Healthy,Normal,Normal,0.0,11.0,33.4,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; Healthy controls; 60 mins after meal ingestion,11.0
117,Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Normal,Fed,GC-MS,uM,370.0,10.0,90.0,20.0,0.0,90.0,630.0,200.0,120.0,10.0,10.0,70.0,30.0,,0.0,470.0,710.0,320.0,140.0,10.0,2.367346939,0.398305085,Obese,,Healthy,Normal,Normal,0.0,11.0,33.4,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; Healthy controls; 120 mins after meal ingestion,11.0
118,Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Unhealthy,Fed,GC-MS,uM,360.0,280.0,380.0,20.0,0.0,140.0,1070.0,360.0,70.0,10.0,20.0,70.0,30.0,,0.0,520.0,1420.0,770.0,90.0,10.0,1.701923077,0.448453608,,,,,,0.0,11.0,35.1,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; RYGB patients; 180 mins after meal ingestion,11.0
119,Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Unhealthy,Fasted,GC-MS,uM,350.0,160.0,260.0,0.0,0.0,140.0,750.0,240.0,70.0,10.0,20.0,30.0,20.0,,0.0,510.0,940.0,520.0,70.0,10.0,1.662337662,0.413793103,,,,,,0.0,11.0,35.1,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; RYGB patients; Fasted,11.0
120,Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Normal,Fasted,GC-MS,uM,60.0,30.0,80.0,20.0,0.0,30.0,140.0,50.0,40.0,0.0,0.0,0.0,0.0,,0.0,90.0,170.0,130.0,60.0,0.0,1.368421053,0.730769231,Obese,,Healthy,Normal,Normal,0.0,11.0,33.4,,,,,,,,GC-MS,2015,Arithmetic Mean,,GC-MS: Mean; Healthy controls; Fasted,11.0
121,Long-term effects of Roux en-Y gastric bypass on postprandial plasma lipid and bile acids kinetics in female non diabetic subjects: A cross-sectional pilot study.,https://doi.org/10.1016/j.clnu.2014.09.018,Plasma,11,Unhealthy,Fed,GC-MS,uM,530.0,350.0,470.0,40.0,0.0,160.0,970.0,360.0,60.0,10.0,30.0,70.0,40.0,,0.0,720.0,1390.0,870.0,100.0,10.0,1.223021583,0.464454976,,,,,,0.0,11.0,35.1,,,,,,,,GC-MS,2015,Arithmetic Mean,0.53,GC-MS: Mean; RYGB patients; 120 mins after meal ingestion,11.0
122,Metabolomic profiling of 17 bile acids in serum from patients with primary biliary cirrhosis and primary sclerosing cholangitis: A pilot study,https://doi.org/10.1016/j.dld.2011.10.025,Serum,12,Unhealthy,Fasted,LC-MS,nM,121.99,216.75,257.49,114.12,15.26,4519.37,6272.49,912.44,,32.66,8356.15,4084.59,164.19,27.21,8.39,12997.51,10573.83,1334.12,,56.31,33.59585728,0.064984002,Primary Biliary Cirrhosis,,Liver,,,0.0,12.0,54.4,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and reconstituted in 100ul H2O:MeOH (50:50) containing 5mM ammonium acetate and 0.01% formic acid. ,100.0,Formic Acid,N2,Methanol:H2O,SPE,,LC-MS/MS,2012,Arithmetic Mean,1.2,LC-MS/MS: Mean; Primary Biliary Cirrhosis,12.0
123,Metabolomic profiling of 17 bile acids in serum from patients with primary biliary cirrhosis and primary sclerosing cholangitis: A pilot study,https://doi.org/10.1016/j.dld.2011.10.025,Serum,6,Unhealthy,Fasted,LC-MS,nM,109.37,152.24,75.42,683.24,5.82,9104.3,6980.7,93.05,,9.68,3813.78,1372.71,28.07,34.67,4.43,13027.45,8505.65,196.54,,19.93,20.89620793,0.04339273,Primary Sclerosing Cholangitis,,Liver,Cholestasis,Cholestasis,5.0,1.0,37.7,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and reconstituted in 100ul H2O:MeOH (50:50) containing 5mM ammonium acetate and 0.01% formic acid. ,100.0,Formic Acid,N2,Methanol:H2O,SPE,,LC-MS/MS,2012,Arithmetic Mean,1.7,LC-MS/MS: Mean; Primary Sclerosing cholangitis,6.0
124,Metabolomic profiling of 17 bile acids in serum from patients with primary biliary cirrhosis and primary sclerosing cholangitis: A pilot study,https://doi.org/10.1016/j.dld.2011.10.025,Serum,30,Normal,Fasted,LC-MS,nM,99.41,176.7,345.43,93.08,16.78,190.2,748.93,296.13,,13.22,183.6,119.21,43.46,5.29,26.36,473.21,1044.84,685.02,,56.36,2.223680613,0.553176773,,,Healthy,Normal,Normal,27.0,3.0,44.2,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and reconstituted in 100ul H2O:MeOH (50:50) containing 5mM ammonium acetate and 0.01% formic acid. ,100.0,Formic Acid,N2,Methanol:H2O,SPE,,LC-MS/MS,2012,Arithmetic Mean,0.49,LC-MS/MS: Mean; Non-cholestatic control B.,30.0
125,Metabolomic profiling of 17 bile acids in serum from patients with primary biliary cirrhosis and primary sclerosing cholangitis: A pilot study,https://doi.org/10.1016/j.dld.2011.10.025,Serum,30,Normal,Fasted,LC-MS,nM,181.54,256.85,386.74,137.6,12.8,233.04,771.49,246.19,,16.28,179.7,120.17,44.91,5.01,23.38,594.28,1148.51,677.84,,52.46,1.681311697,0.500869296,,,Healthy,Normal,Normal,3.0,27.0,52.1,100ul serum. 2ml 0.1% formic acid and 30ul internal standard. SPE columns condtioned with 1ml MeOH and 2ml 0.1% formic acid. Column washed with H2O and H2O:MeOH containing 0.1% formic acid. BAs eluted with 2ml MeOH. Evaporated at 45deg under N2 and reconstituted in 100ul H2O:MeOH (50:50) containing 5mM ammonium acetate and 0.01% formic acid. ,100.0,Formic Acid,N2,Methanol:H2O,SPE,,LC-MS/MS,2012,Arithmetic Mean,0.53,LC-MS/MS: Mean; Non-cholestatic control A.,30.0
126,Metabolomic profiling of bile acids in clinical and experimental samples of Alzheimer’s disease.,https://doi.org/10.3390/metabo7020028,Plasma,10,Unknown,Unknown,LC-MS,nM,156.0,312.2,638.0,101.0,44.0,364.0,1118.0,831.0,170.0,42.0,87.0,184.0,106.0,,,607.0,1614.2,1575.0,,,2.319373402,0.869800108,Alzheimer's Disease,,Healthy,Normal,Normal,4.0,6.0,76.3,Biocrates Bile Acid Kit,,,,,,,UPLC-TQMS,2017,Arithmetic Mean,,UPLC-TQMS: Mean; Alzheimer's Disease; No check for comorbidities,10.0
127,Metabolomic profiling of bile acids in clinical and experimental samples of Alzheimer’s disease.,https://doi.org/10.3390/metabo7020028,Plasma,10,Unknown,Unknown,LC-MS,nM,947.0,2781.0,938.0,206.0,63.0,281.0,1218.0,625.0,141.0,42.0,39.0,147.0,60.0,,,1267.0,4146.0,1623.0,,,0.517325228,0.383336412,,,Healthy,Normal,Normal,5.0,5.0,77.6,Biocrates Bile Acid Kit,,,,,,,UPLC-TQMS,2017,Arithmetic Mean,,UPLC-TQMS: Mean; No Alzheimer's Disease; No check for comorbidities,10.0
128,Middle-distance running acutely influences the concentration and composition of serum bile acids: Potential implications for cancer risk?,https://doi.org/10.18632/oncotarget.17188,Serum,30,Unknown,Fasted,LC-MS,uM,60.0,120.0,100.0,10.0,10.0,150.0,710.0,170.0,60.0,,20.0,140.0,,,,230.0,970.0,,,,4.166666667,0.291666667,,,Healthy,Normal,Normal,21.0,9.0,45.0,500ul serum. 5ul IS. Mixed with 1000ul acetonitrile. Vortex. Centrifuge. SN transferred to autosampler,500.0,Acetonitrile,,,Direct Injection,,UPLC-TQMS,2017,Median,,UPLC-TQMS: Median; Post-exercise; No check for EHC diseases,30.0
129,Middle-distance running acutely influences the concentration and composition of serum bile acids: Potential implications for cancer risk?,https://doi.org/10.18632/oncotarget.17188,Serum,30,Unknown,Fasted,LC-MS,uM,160.0,390.0,320.0,50.0,10.0,200.0,710.0,220.0,60.0,,20.0,90.0,,,,380.0,1190.0,,,,1.397849462,0.420382166,,,Healthy,Normal,Normal,21.0,9.0,45.0,500ul serum. 5ul IS. Mixed with 1000ul acetonitrile. Vortex. Centrifuge. SN transferred to autosampler,500.0,Acetonitrile,,,Direct Injection,,UPLC-TQMS,2017,Median,,UPLC-TQMS: Median; Pre-exercise; No check for EHC diseases,30.0
130,NASH-related increases in plasma bile acid levels depend on insulin resistance,https://doi.org/10.1016/j.jhepr.2020.100222,Plasma,17,Unhealthy,Fasted,LC-MS,nM,205.0,452.0,417.0,91.0,13.0,671.0,1382.0,405.0,138.0,17.0,134.0,224.0,106.0,11.0,3.7,1010.0,2058.0,928.0,240.0,33.7,2.624533107,0.391688396,NASH,,Liver,NASH,Metabolic,5.0,12.0,38.2,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Mean; No-T2D; NASH,17.0
131,NASH-related increases in plasma bile acid levels depend on insulin resistance,https://doi.org/10.1016/j.jhepr.2020.100222,Plasma,58,Unhealthy,Fasted,LC-MS,nM,266.0,608.0,371.0,153.0,14.0,641.0,1497.0,271.0,236.0,11.0,178.0,296.0,75.0,19.0,2.2,1085.0,2401.0,717.0,408.0,27.2,2.284844193,0.330522088,T2D NASH,,Liver,NASH,Metabolic,21.0,37.0,49.3,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Mean; T2D; NASH,58.0
132,NASH-related increases in plasma bile acid levels depend on insulin resistance,https://doi.org/10.1016/j.jhepr.2020.100222,Plasma,85,Normal,Fasted,LC-MS,nM,141.0,245.0,220.0,85.0,9.0,201.0,611.0,154.0,114.0,8.0,54.0,120.0,53.0,10.0,1.6,396.0,976.0,427.0,209.0,18.6,1.895142857,0.477113703,,,Healthy,Normal,Normal,28.0,57.0,38.5,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Mean; No-T2D; No NASH,85.0
133,NASH-related increases in plasma bile acid levels depend on insulin resistance,https://doi.org/10.1016/j.jhepr.2020.100222,Plasma,59,Normal,Fasted,LC-MS,nM,114.0,334.0,258.0,98.0,10.0,150.0,598.0,144.0,103.0,9.0,24.0,72.0,39.0,5.0,1.4,288.0,1004.0,441.0,206.0,20.4,1.407125307,0.516563467,T2D,,Healthy,Normal,Normal,20.0,39.0,47.1,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Mean; T2D; No NASH,59.0
134,Portal venous bile acids in cholesterol gallstone disease: Effect of treatment with chenodeoxycholic and cholic acids.,https://doi.org/10.1002/hep.1840050423,Serum,9,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,600.0,930.0,750.0,,,,,Adenomyoma of Gallbladder,,Non-Liver,,,1.0,8.0,52.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1985,Arithmetic Mean,,GC-MS: Mean;  Adenomyoma of Gallbladder no gallstones,9.0
135,Portal venous bile acids in cholesterol gallstone disease: Effect of treatment with chenodeoxycholic and cholic acids.,https://doi.org/10.1002/hep.1840050423,Serum,20,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,520.0,1330.0,900.0,,,,,Cholelithiasis,,Non-Liver,,,8.0,12.0,56.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1985,Arithmetic Mean,,GC-MS: Mean; Cholelithiasis,20.0
136,Postprandial Plasma Concentrations of Individual Bile Acids and FGF-19 in Patients With Type 2 Diabetes,https://doi.org/10.1210/jc.2016-1607,Plasma,15,Normal,Fasted,LC-MS,uM,60.0,70.0,100.0,0.0,,100.0,280.0,100.0,0.0,,0.0,20.0,0.0,0.0,,130.0,380.0,200.0,30.0,,2.173913043,0.377358491,,,Healthy,Normal,Normal,9.0,6.0,59.7,50ul diluted with IS and 500ul acetonitrile. Centrifuge; dry under N2 and reconstitute in 100ul MeOH:H2O (1:3). Injected in UPLC column. BAs separated using gradient from 98% 5mM ammoniumformate:methanol (3:1) to 98% acetonitrile:H2O (9:1 v:v). Waters Quattro Premier XE  ,50.0,Acetonitrile,N2,Methanol:H2O,,,UPLC-MS/MS,2016,Median,,UPLC-MS/MS: Median; Normal Glucose Tolerant,15.0
137,Postprandial Plasma Concentrations of Individual Bile Acids and FGF-19 in Patients With Type 2 Diabetes,https://doi.org/10.1210/jc.2016-1607,Plasma,15,Normal,Fasted,LC-MS,uM,70.0,70.0,310.0,40.0,,120.0,310.0,170.0,30.0,,30.0,70.0,30.0,0.0,,220.0,450.0,510.0,70.0,,1.551020408,0.865671642,T2D,,,,,9.0,6.0,59.4,50ul diluted with IS and 500ul acetonitrile. Centrifuge; dry under N2 and reconstitute in 100ul MeOH:H2O (1:3). Injected in UPLC column. BAs separated using gradient from 98% 5mM ammoniumformate:methanol (3:1) to 98% acetonitrile:H2O (9:1 v:v). Waters Quattro Premier XE  ,50.0,Acetonitrile,N2,Methanol:H2O,,,UPLC-MS/MS,2016,Median,,UPLC-MS/MS: Median; T2D,15.0
138,Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.606,Serum,5,Normal,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,460.0,1060.0,1220.0,,,,,,,Healthy,Normal,Normal,0.0,5.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; Before standardized meal,5.0
139,Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.607,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,560.0,2150.0,1920.0,,,,,,,Healthy,Normal,Normal,0.0,5.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 30 mins after standardized meal,5.0
140,Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.608,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,740.0,2440.0,1910.0,,,,,,,Healthy,Normal,Normal,0.0,5.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 60 mins after standardized meal,5.0
141,Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.609,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,1010.0,3040.0,2240.0,,,,,,,Healthy,Normal,Normal,0.0,5.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 90 mins after standardized meal,5.0
142,Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.610,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,720.0,2410.0,2009.9999999999998,,,,,,,Healthy,Normal,Normal,0.0,5.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 120 mins after standardized meal,5.0
143,Postprandial serum bile acids in healthy man. Evidence for differences in absorptive pattern between individual bile acids.,https://doi.org/10.1136/gut.18.8.611,Serum,5,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,570.0,1800.0,1650.0,,,,,,,Healthy,Normal,Normal,0.0,5.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1977,Arithmetic Mean,,GC-MS: Mean; 150 mins after standardized meal,5.0
144,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,340.0,980.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; Fasting; Healthy Control,10.0
145,Postprandial serum concentration of individual bile acids in man. Influence of ileal resection.,https://doi.org/10.3109/00365528209181093,Serum,10,Normal,Fed,GC-MS,uM,,,,,,,,,,,,,,,,420.0,1240.0,,,,,,,,Healthy,Normal,Normal,4.0,6.0,33.0,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000.0,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Mean; 15 mins after meal; Healthy Control,10.0
